Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Toyota,2013,Crown,USED Dealer ad,2013 Toyota Crown Royal Saloon,USED,Automatic,-,Other,Premium,-,148775,White / Beigh,"Braeside, VIC",-,,,,25888
Skoda,2020,Kodiaq,SUV,2020 Skoda Kodiaq 132 TSI Sportline (4X4),USED,Automatic,"4 cyl, 2 L",4WD,Premium,7.6 L / 100 km,49562,Black / Black,"Hoppers Crossing, VIC",4 cyl,SUV, 4 Doors, 7 Seats,53990
Ford,2019,Endura,SUV,2019 Ford Endura ST-Line (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.7 L / 100 km,35917,Blue / -,"Aspley, QLD",4 cyl,SUV, 4 Doors, 5 Seats,36990
Mitsubishi,2022,Outlander,SUV,2022 Mitsubishi Outlander ES 5 Seat (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.5 L / 100 km,20611,White / Black,"Hendra, QLD",4 cyl,SUV, 4 Doors, 5 Seats,38502
Mercedes-Benz,2020,X250,Ute / Tray,2020 Mercedes-Benz X250 D Pure (4Matic),USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,7.9 L / 100 km,39919,White / -,"Capalaba, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,49991
Nissan,2021,Leaf,Hatchback,2021 Nissan Leaf E+,USED,Automatic,0 L,Front,Electric,0 L / 100 km,22703,Red / -,"Ravenhall, VIC",0 L,Hatchback, 5 Doors, 5 Seats,45990
Nissan,2013,Pulsar,Sedan,2013 Nissan Pulsar ST-L,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.7 L / 100 km,120809,White / -,"Elsternwick, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,13990
Mazda,2023,CX-8,Mount Gravatt Mazda New,2023 Mazda CX-8 G25 Touring (fwd),NEW,Automatic,"4 cyl, 2.5 L",Front,-,8.1 L / 100 km,25,Grey / -,"Mount Gravatt, QLD",4 cyl,SUV, 4 Doors, 7 Seats,49996
BMW,2016,X1,Gas Sports Cars,2016 BMW X1 sDrive18d Steptronic,USED,Automatic,-,Front,Diesel,-,87256,Grey / -,"Albion, QLD",-,Wagon,,,34888
Mazda,2017,3,Hatchback,2017 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,5.8 L / 100 km,66188,White / Black,"Hendra, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,20690
Hyundai,2014,IX35,SUV,2014 Hyundai IX35 Trophy (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.4 L / 100 km,98824,White / Black,"Mornington, VIC",4 cyl,SUV, 4 Doors, 5 Seats,18990
Honda,2016,HR-V,SUV,2016 Honda HR-V VTI,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.6 L / 100 km,91022,Blue / Grey,"Pinkenba, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20990
Volkswagen,2015,Transporter,Commercial,2015 Volkswagen Transporter TDI 340 LWB LOW,USED,Automatic,"4 cyl, 2 L",Front,Diesel,8.2 L / 100 km,194392,White / -,"Slacks Creek, QLD",4 cyl,Commercial, 2 Doors, 2 Seats,25999
Mazda,2014,6,Sedan,2014 Mazda 6 Touring,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,125793,Silver / -,"Eagle Farm, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,17990
Subaru,2012,Impreza,Hatchback,2012 Subaru Impreza 2.0I-S (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.8 L / 100 km,88910,White / Cloth,"Keysborough, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,19470
Mazda,2017,CX-3,SUV,2017 Mazda CX-3 S Touring (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.1 L / 100 km,85552,Yellow / -,"Essendon Fields, VIC",4 cyl,SUV, 4 Doors, 5 Seats,25970
Holden,2012,Colorado,Ute / Tray,2012 Holden Colorado LTZ (4X2),USED,Automatic,"4 cyl, 2.8 L",Rear,Diesel,7.8 L / 100 km,282153,White / Grey,"Ravenhall, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,16999
Mazda,2022,3,Sedan,2022 Mazda 3 G20 Evolve,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.1 L / 100 km,9120,Brown / Black,"Brighton, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,35990
Jeep,2018,Wrangler,SUV,2018 Jeep Wrangler Unlimited Overland (4X4),USED,Automatic,"6 cyl, 3.6 L",4WD,Unleaded,11.7 L / 100 km,79898,Black / Black,"Hoppers Crossing, VIC",6 cyl,SUV, 4 Doors, 5 Seats,57990
Toyota,2019,Yaris,Hatchback,2019 Toyota Yaris Ascent,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.4 L / 100 km,94115,Silver / Grey,"Essendon Fields, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,20850
Mazda,2016,BT-50,Ute / Tray,2016 Mazda BT-50 XTR (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,118000,White / -,"Underwood, QLD",5 cyl,Ute / Tray, 4 Doors, 5 Seats,34990
Nissan,2020,Qashqai,SUV,2020 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,27660,White / Leather,"Toowoomba City, QLD",4 cyl,SUV, 4 Doors, 5 Seats,31995
Mitsubishi,2021,Triton,Ute / Tray,2021 Mitsubishi Triton GLX (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,8.6 L / 100 km,50804,White / -,"Acacia Ridge, QLD",4 cyl,Ute / Tray, 4 Doors, 4 Seats,59980
Jaguar,1998,XJ8,Sedan,1998 Jaguar XJ8 4.0,USED,Automatic,"8 cyl, 4 L",Rear,Premium,16.9 L / 100 km,248000,Blue / -,"Aspley, QLD",8 cyl,Sedan, 4 Doors, 5 Seats,24999
Nissan,2014,X-Trail,SUV,2014 Nissan X-Trail ST-L (fwd),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,111032,White / -,"Morningside, QLD",4 cyl,SUV, 4 Doors, 5 Seats,18290
Toyota,2005,HiAce,Commercial,2005 Toyota HiAce LWB,USED,Manual,"4 cyl, 2.7 L",Rear,Unleaded,11.6 L / 100 km,269000,White / Grey  Cloth,"Brooklyn, VIC",4 cyl,Commercial, 4 Doors, 3 Seats,16499
Kia,2012,Sportage,SUV,2012 Kia Sportage Platinum (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,7.5 L / 100 km,174018,Brown / Black,"Coorparoo, QLD",4 cyl,SUV, 4 Doors, 5 Seats,14950
Jeep,2009,Wrangler,SUV,2009 Jeep Wrangler Unlimited Sport (4X4),USED,Manual,"6 cyl, 3.8 L",4WD,Unleaded,11.8 L / 100 km,123556,Red / Grey,"Archerfield, QLD",6 cyl,SUV, 4 Doors, 5 Seats,24990
GWM,2023,Haval,NEW In stock,2023 GWM Haval H6 LUX Hybrid,NEW,-,"4 cyl, 1.5 L",Front,-,9.8 L / 100 km,12,White / Charcoal,"Kedron, QLD",4 cyl,SUV, 4 Doors, 5 Seats,42490
Toyota,2017,Hilux,Ute / Tray,2017 Toyota Hilux Workmate,USED,Manual,"4 cyl, 2.4 L",Rear,Diesel,7.7 L / 100 km,164048,White / -,"Woodridge, QLD",4 cyl,Ute / Tray, 2 Doors, 2 Seats,21990
Holden,2018,Colorado,Ute / Tray,2018 Holden Colorado Z71 (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.7 L / 100 km,97436,Silver / -,"Capalaba, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,34992
Suzuki,2005,Swift,First Choice Motors,2005 Suzuki Swift Z Series,USED,Automatic,-,Front,Unleaded,-,170123,White / Black,"Coorparoo, QLD",-,Hatchback,,,7750
Toyota,2008,Crown,USED Dealer ad,2008 Toyota Crown,USED,Automatic,-,Other,-,-,109594,White / Black,"Dingley Village, VIC",-,,,,21999
Nissan,2009,Navara,Ute / Tray,2009 Nissan Navara ST-X (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,10.5 L / 100 km,169115,Silver / -,"Bacchus Marsh, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,17500
Land,2016,Rover,SUV,2016 Land Rover Discovery Sport TD4 HSE,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,6 L / 100 km,94865,White / -,"Rocklea, QLD",4 cyl,SUV, 4 Doors, 5 Seats,34926
Hyundai,2016,Accent,Hatchback,2016 Hyundai Accent Active,USED,Manual,"4 cyl, 1.4 L",Front,Unleaded,5.9 L / 100 km,135990,Yellow / -,"Slacks Creek, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,14990
Kia,2021,Cerato,Sedan,2021 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,62655,Blue / -,"Rocklea, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,25925
Volkswagen,2018,Tiguan,SUV,2018 Volkswagen Tiguan Allspace 162 TSI Highline,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.3 L / 100 km,56358,Red / Leather,"Toowoomba City, QLD",4 cyl,SUV, 4 Doors, 7 Seats,47995
Holden,2014,Barina,Hatchback,2014 Holden Barina CD,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.6 L / 100 km,119252,Grey / Grey,"West Footscray, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10999
Honda,2005,Accord,Sedan,2005 Honda Accord Euro Euro,USED,Automatic,"4 cyl, 2.4 L",Front,Premium,9.4 L / 100 km,225321,Grey / -,"Hamilton, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,7500
Mercedes-Benz,2017,CLA250,Sedan,2017 Mercedes-Benz CLA250 Sport 4Matic,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.9 L / 100 km,89831,White / Black,"Bentleigh, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,39990
Holden,2006,Rodeo,Ute / Tray,2006 Holden Rodeo LX (4X4),USED,Manual,"4 cyl, 3 L",4WD,Diesel,0 L / 100 km,334958,White / Grey,"Tingalpa, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,11990
Mercedes-Benz,2018,GLA250,SUV,2018 Mercedes-Benz GLA250 4Matic,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7 L / 100 km,28937,Grey / -,"Mansfield, QLD",4 cyl,SUV, 4 Doors, 5 Seats,46800
Mercedes-Benz,2013,E250,Coupe,2013 Mercedes-Benz E250 CDI,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,4.7 L / 100 km,101744,Black / Black,"Port Melbourne, VIC",4 cyl,Coupe, 2 Doors, 4 Seats,27980
Toyota,2011,HiAce,Commercial,2011 Toyota HiAce LWB,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,11.6 L / 100 km,129330,White / Black,"Cranbourne, VIC",4 cyl,Commercial, 4 Doors, 3 Seats,29990
Kia,2019,Sportage,SUV,2019 Kia Sportage SI (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,118082,White / Black,"Hendra, QLD",4 cyl,SUV, 4 Doors, 5 Seats,22490
Honda,1999,Civic,Hatchback,1999 Honda Civic CXI,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,8.4 L / 100 km,220374,Black / -,"Maidstone, VIC",4 cyl,Hatchback, 3 Doors, 5 Seats,6995
GWM,2022,Haval,"Westpoint Haval, GWM, Mahindra, SsangYong",2022 GWM Haval Jolion Ultra,NEW,Automatic,"4 cyl, 1.5 L",Front,Premium,8.1 L / 100 km,20,White / -,"Moorooka, QLD",4 cyl,SUV, 4 Doors, 5 Seats,32990
Hyundai,2019,Tucson,SUV,2019 Hyundai Tucson Active (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,33367,- / -,"Kedron, QLD",4 cyl,SUV, 4 Doors, 5 Seats,28490
Toyota,2011,HiAce,Commercial,2011 Toyota HiAce Slwb,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,12.6 L / 100 km,329000,- / -,"Brooklyn, VIC",4 cyl,Commercial, 4 Doors, 3 Seats,23999
Toyota,2019,RAV4,SUV,2019 Toyota RAV4 Edge AWD,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.3 L / 100 km,65253,Green / Black,"Keysborough, VIC",4 cyl,SUV, 5 Doors, 5 Seats,49970
Nissan,2019,Qashqai,SUV,2019 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,84741,White / Black,"Hendra, QLD",4 cyl,SUV, 4 Doors, 5 Seats,22492
Toyota,2012,Yaris,Hatchback,2012 Toyota Yaris YRX,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.3 L / 100 km,105267,Silver / Black,"Brooklyn, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,14987
Nissan,2020,Juke,SUV,2020 Nissan Juke ST-L,USED,Automatic,"3 cyl, 1 L",Front,Premium,5.8 L / 100 km,13043,Blue / -,"Ravenhall, VIC",3 cyl,SUV, 5 Doors, 5 Seats,32990
Mitsubishi,2009,Lancer,Hatchback,2009 Mitsubishi Lancer ES Sportback,USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,224034,Red / Black,"Eagle Farm, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,6990
MG,2022,HS,Oldmac MG New,2022 MG HS +EV Phev Excite,DEMO,Automatic,"4 cyl, 1.5 L",Front,Hybrid,1.7 L / 100 km,5,White / -,"Cleveland, QLD",4 cyl,SUV, 5 Doors, 5 Seats,45990
Volkswagen,2021,Tiguan,SUV,2021 Volkswagen Tiguan Allspace 140 TDI Highline,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.4 L / 100 km,73458,White / Black,"Hendra, QLD",4 cyl,SUV, 4 Doors, 7 Seats,47772
Mazda,2023,CX-30,Ipswich Mazda,2023 Mazda CX-30 G20E Evolve M HYB Vision (fwd),DEMO,Automatic,"4 cyl, 2 L",Front,Hybrid,6.3 L / 100 km,21,Grey / -,"Ipswich, QLD",4 cyl,SUV, 4 Doors, 5 Seats,40990
Kia,2021,Stinger,Sedan,2021 Kia Stinger GT (black Leather),USED,Automatic,"6 cyl, 3.3 L",Rear,Unleaded,10.2 L / 100 km,8094,Red / Black,"Frankston, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,63340
GWM,2022,Haval,Hillcrest GWM HAVAL,2022 GWM Haval H6GT LUX (2WD),NEW,Automatic,"4 cyl, 2 L",Front,Unleaded,7.5 L / 100 km,28,Blue / -,"Hillcrest, QLD",4 cyl,SUV, 4 Doors, 5 Seats,40485
Holden,2017,Colorado,Ute / Tray,2017 Holden Colorado LS (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9.1 L / 100 km,242056,White / -,"Williamstown, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,25999
GWM,2023,Haval,Kedron Haval & Great Wall Online,2023 GWM Haval Jolion Premium,NEW,Automatic,"4 cyl, 1.5 L",Front,Premium,8.1 L / 100 km,12,Black / Black Cloth,"Kedron, QLD",4 cyl,SUV, 4 Doors, 5 Seats,28985
Suzuki,2022,Swift,Westpoint Autos Nissan & Suzuki New Cars,2022 Suzuki Swift GL Special Edition (qld),NEW,Automatic,"4 cyl, 1.2 L",Front,Unleaded,4.8 L / 100 km,20,White / -,"Indooroopilly, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,26988
Ford,2014,Focus,M1 Used Cars,2014 Ford Focus Trend-15 Months Warranty,USED,Automatic,-,Front,Unleaded,-,167698,Grey / -,"Slacks Creek, QLD",-,Hatchback,,,10990
Nissan,2014,Pulsar,Hatchback,2014 Nissan Pulsar ST,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.7 L / 100 km,131737,Black / Black,"West Footscray, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,13499
Hyundai,2019,Santa,SUV,2019 Hyundai Santa FE Highlander Crdi Satin AWD,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.5 L / 100 km,58392,Blue / Leather,"Frankston, VIC",4 cyl,SUV, 4 Doors, 7 Seats,49990
Subaru,2018,Outback,SUV,2018 Subaru Outback 2.5I,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.3 L / 100 km,130413,White / Black,"Hendra, QLD",4 cyl,SUV, 4 Doors, 5 Seats,23990
Nissan,2017,Qashqai,SUV,2017 Nissan Qashqai TI,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,124625,White / -,"Gatton, QLD",4 cyl,SUV, 4 Doors, 5 Seats,24990
BMW,2014,X5,SUV,2014 BMW X5 Xdrive 30D,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.2 L / 100 km,127307,Black / -,"Port Melbourne, VIC",6 cyl,SUV, 4 Doors, 5 Seats,38750
Volkswagen,2013,Golf,Convertible,2013 Volkswagen Golf 118 TSI,USED,Manual,"4 cyl, 1.4 L",Front,Premium,6.6 L / 100 km,13777,White / -,"Parkdale, VIC",4 cyl,Convertible, 2 Doors, 4 Seats,23999
Nissan,2022,Navara,"Brighton Renault, Suzuki & Nissan New",2022 Nissan Navara SL Warrior (4X4),NEW,Automatic,"4 cyl, 2.3 L",4WD,Diesel,7.9 L / 100 km,15,White / Black,"Bentleigh, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,65800
Isuzu,2020,MU-X,SUV,2020 Isuzu MU-X LS-U (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,7.9 L / 100 km,23503,White / Black,"Toowoomba City, QLD",4 cyl,SUV, 4 Doors, 7 Seats,51900
Hyundai,2018,I30,Hatchback,2018 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,66726,Silver / -,"Morningside, QLD",4 cyl,Hatchback, 4 Doors, 5 Seats,21690
Mitsubishi,2018,ASX,SUV,2018 Mitsubishi ASX LS (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.6 L / 100 km,16888,White / Black With Red Trim,"Deer Park, VIC",4 cyl,SUV, 4 Doors, 5 Seats,29990
Land,2017,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 (132KW) Landmark Edition,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1 L / 100 km,64355,Blue / -,"Kedron, QLD",4 cyl,SUV, 5 Doors, 5 Seats,55990
BMW,2016,220I,Coupe,2016 BMW 220I M-Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6 L / 100 km,131173,Red / Leather Dakota Black,"Springwood, QLD",4 cyl,Coupe, 2 Doors, 4 Seats,23866
MG,2021,ZST,SUV,2021 MG ZST Excite,USED,Automatic,"3 cyl, 1.3 L",Front,Unleaded,7.3 L / 100 km,23102,White / Black,"Pinkenba, QLD",3 cyl,SUV, 5 Doors, 5 Seats,26990
MG,2021,HS,SUV,2021 MG HS Core,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,25642,White / -,"Browns Plains, QLD",4 cyl,SUV, 4 Doors, 5 Seats,23880
Ford,2019,Ranger,Ute / Tray,2019 Ford Ranger Wildtrak 2.0 (4X4),USED,Automatic,"4 cyl, 2 L",4WD,Diesel,7.4 L / 100 km,67665,White / Grey,"Moorabbin, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,54990
Toyota,2005,Landcruiser,SUV,2005 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,"6 cyl, 4 L",4WD,Unleaded,13.2 L / 100 km,293460,Silver / -,"Rocklea, QLD",6 cyl,SUV, 4 Doors, 8 Seats,14999
Toyota,2014,Hilux,Ute / Tray,2014 Toyota Hilux SR (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.3 L / 100 km,228000,White / Black,"Altona North, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,32999
Kia,2014,Cerato,Hatchback,2014 Kia Cerato SLI,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,134154,Black / Black,"Brighton, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,18990
Volkswagen,2019,Golf,Hatchback,2019 Volkswagen Golf R,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8 L / 100 km,42193,Blue / -,"Rocklea, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,51190
Honda,2021,CR-V,SUV,2021 Honda CR-V VTI L7 (2WD) 7 Seats,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,13038,Red / Black,"Oakleigh, VIC",4 cyl,SUV, 4 Doors, 7 Seats,46888
Ford,2019,Ranger,Ute / Tray,2019 Ford Ranger XL 2.2 (4X4),USED,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8 L / 100 km,69402,White / Black,"Melbourne, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,38950
Honda,2019,CR-V,SUV,2019 Honda CR-V VTI-LX (awd),USED,Automatic,"4 cyl, 1.5 L",AWD,Unleaded,7.4 L / 100 km,44411,Red / Black,"Brooklyn, VIC",4 cyl,SUV, 4 Doors, 5 Seats,37983
Holden,2003,Commodore,Sedan,2003 Holden Commodore SS,USED,Automatic,"8 cyl, 5.7 L",Rear,Unleaded,13.5 L / 100 km,232558,Green / -,"Capalaba, QLD",8 cyl,Sedan, 4 Doors, 5 Seats,22995
Toyota,2011,Hilux,Ute / Tray,2011 Toyota Hilux Workmate,USED,Manual,"4 cyl, 2.7 L",Rear,Unleaded,11 L / 100 km,291382,White / -,"Seaford, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,11950
Hyundai,2017,Tucson,Brisbane City Used Cars T/U: Toowong Automotive,2017 Hyundai Tucson Active X 2WD,USED,Automatic,-,Front,Unleaded,-,92113,Silver / -,"Rocklea, QLD",-,Wagon,,,23380
Ford,2010,Falcon,Sedan,2010 Ford Falcon XR6T 50TH Anniversary,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,11.7 L / 100 km,87121,Blue / -,"Maidstone, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,39880
Holden,2013,Cruze,Hatchback,2013 Holden Cruze SRI V,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,7.4 L / 100 km,136565,Orange / Black,"Moorabbin, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10990
Toyota,2021,Landcruiser,SUV,2021 Toyota Landcruiser Prado VX Flat Tailgate,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,7.9 L / 100 km,14500,Grey / Black Leather,"Essendon Fields, VIC",4 cyl,SUV, 4 Doors, 7 Seats,91880
Mazda,2022,CX-5,Redland Mazda New,2022 Mazda CX-5 Maxx Sport (awd),DEMO,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.5 L / 100 km,2515,Red / Black Cloth,"Capalaba, QLD",4 cyl,SUV, 4 Doors, 5 Seats,44990
Suzuki,2018,Swift,Hatchback,2018 Suzuki Swift GL Navigator,USED,Automatic,"4 cyl, 1.2 L",Front,Unleaded,4.8 L / 100 km,62948,Red / Black,"Cheltenham, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,17980
Mitsubishi,2013,Mirage,Hatchback,2013 Mitsubishi Mirage ES,USED,Automatic,"3 cyl, 1.2 L",Front,Unleaded,4.6 L / 100 km,219845,Red / Cloth,"Hendra, QLD",3 cyl,Hatchback, 5 Doors, 5 Seats,7990
Mercedes-Benz,2017,C200,Wagon,2017 Mercedes-Benz C200,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.6 L / 100 km,35551,Black / Black,"Brooklyn, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,39233
Mitsubishi,2003,Lancer,Sedan,2003 Mitsubishi Lancer Evolution VIII,USED,Manual,"4 cyl, 2 L",AWD,-,-,162090,White / Black,"Dingley Village, VIC",4 cyl,Sedan, 4 Doors,,37999
Suzuki,2022,Swift,Westpoint Autos Nissan & Suzuki New Cars,2022 Suzuki Swift GL Navi Plus,NEW,Automatic,"4 cyl, 1.2 L",Front,Unleaded,4.8 L / 100 km,20,Grey / Black,"Indooroopilly, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,28680
Mitsubishi,2018,Outlander,SUV,2018 Mitsubishi Outlander ES 5 Seat (2WD),USED,Manual,"4 cyl, 2 L",Front,Unleaded,7 L / 100 km,97560,White / Black,"Toowoomba City, QLD",4 cyl,SUV, 4 Doors, 5 Seats,25990
MG,2023,ZS,Browns Plains MG New,2023 MG ZS Excite,NEW,Automatic,"4 cyl, 1.5 L",Front,-,7.1 L / 100 km,7,Blue / -,"Browns Plains, QLD",4 cyl,SUV, 4 Doors, 5 Seats,24690
Hyundai,2012,IX35,SUV,2012 Hyundai IX35 Elite (awd),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,9.2 L / 100 km,123441,Blue / -,"Loganholme, QLD",4 cyl,SUV, 4 Doors, 5 Seats,15995
Toyota,2010,Kluger,SUV,2010 Toyota Kluger KX-R (fwd) 7 Seat,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11 L / 100 km,175121,Grey / Black,"Eagle Farm, QLD",6 cyl,SUV, 4 Doors, 7 Seats,17990
Mazda,2020,CX-8,SUV,2020 Mazda CX-8 GT (awd),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,6 L / 100 km,70270,White / Black,"Sunbury, VIC",4 cyl,SUV, 4 Doors, 7 Seats,50999
Holden,2008,Calais,Sedan,2008 Holden Calais,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,11 L / 100 km,198011,Red / Part Leather,"Brooklyn, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,13999
Holden,2019,Trax,SUV,2019 Holden Trax LS,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.7 L / 100 km,78000,White / -,"Acacia Ridge, QLD",4 cyl,SUV, 4 Doors, 5 Seats,15995
Toyota,2020,Camry,Sedan,2020 Toyota Camry Ascent Hybrid,USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,4.2 L / 100 km,88056,White / -,"Indooroopilly, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,36895
Ford,2007,Falcon,Sedan,2007 Ford Falcon XT,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,10.9 L / 100 km,175861,Silver / -,"Point Cook, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,6999
Nissan,2010,Navara,Ute / Tray,2010 Nissan Navara ST-R (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.2 L / 100 km,138847,White / Cloth,"Aspley, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,21990
Nissan,2009,X-Trail,M1 Used Cars,2009 Nissan X-Trail,USED,Automatic,-,Other,Diesel,-,162958,White / -,"Slacks Creek, QLD",-,Wagon,,,11990
MG,2023,ZST,Springwood MG - New,2023 MG ZST Excite,NEW,Automatic,"3 cyl, 1.3 L",Front,-,7.3 L / 100 km,0,Black / -,"Springwood, QLD",3 cyl,SUV, 5 Doors, 5 Seats,31990
Honda,2007,CR-V,SUV,2007 Honda CR-V (4X4) Luxury,USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,10 L / 100 km,163585,Grey / Black,"Kedron, QLD",4 cyl,SUV, 4 Doors, 5 Seats,10998
